"ID","ID,性别,专业,学历,毕业去向,就业行业,期望薪资,工作城市,满意度评分,是否有实习经历,城市"
"1","1,男,临床医学,硕士,创业,医疗,8500.0,南京,5,是,"
"2","2,女,金融学,本科,公务员,银行,-7249,杭州,差,是,上海 "
"3","3,女,土木工程,硕士,出国,教育,,成都,4,是,"
"4","4,女,计算机,,自由职业,文化传媒,-9367,北京,1,否,"
"5","5,女,金融学,硕士,出国,文化传媒,7500.0,杭州,4,是,"
"6","6,男,机械工程,本科,考研,银行,4000.0,上海,2,否,"
"7","7,男,,本科,就业,教育,6000.0,北京,4,是,"
"8","8,女,法学,本科,创业,建筑,,南京,4.127997737234109,是,"
"9","9,女,汉语言文学,硕士,自由职业,银行,11500.0,成都,5,否,"
"10","10,女,,本科,考研,银行,12500.0,成都,1,否,"
"11","11,女,电子信息,,,医疗,7000.0,成都,5,否,"
"12","12,女,市场营销,博士,出国,银行,6000.0,上海,5,是,上海 "
"13","13,男,临床医学,博士,公务员,文化传媒,15000.0,杭州,3,否,"
"14","14,男,汉语言文学,博士,自由职业,建筑,5500.0,武汉,4,是,"
"15","15,女,金融学,,考研,文化传媒,12000.0,上海,差,否,"
"16","16,男,计算机,本科,创业,文化传媒,14000.0,北京,4,否,"
"17","17,男,汉语言文学,本科,出国,政府机关,13000.0,北京,2,否,"
"18","18,女,金融学,硕士,考研,制造业,44366.572518376204,深圳,3,是,"
"19","19,女,,本科,,银行,13000.0,西安,3.149058245538809,否,"
"20","20,男,机械工程,硕士,创业,建筑,未知,杭州,1,否,"
"21","21,女,,硕士,就业,文化传媒,44540.31294110489,成都,3,否,"
"22","22,其他1,,硕士,,互联网,-2381,成都,3,否,"
"23","23,男,环境工程,博士,公务员,银行,,西安,2,否,"
"24","24,男,金融学,硕士,自由职业,制造业,,杭州,4,是,"
"25","25,女,机械工程,本科,创业,银行,15000.0,西安,4,否,上海 "
"26","26,女,电子信息,硕士,公务员,政府机关,14000.0,青岛,5,否,"
"27","27,女,法学,本科,公务员,建筑,15000.0,上海,2.1146548113114836,是,"
"28","28,男,计算机,本科,,银行,11000.0,西安,4,否,"
"29","29, 女,汉语言文学,硕士,公务员,建筑,14000.0,杭州,1,是,"
"30","30,男,,硕士,公务员,建筑,7000.0,广州,5,是,"
"31","31,女,土木工程,博士,就业,政府机关,6500.0,青岛,差,是,"
"32","32,男,电子信息,本科,就业,建筑,11000.0,武汉,差,否,"
"33","33,女,,硕士,出国,互联网,7000.0,杭州,差,否,"
"34","34,女,金融学,本科,,文化传媒,41693.856031708376,杭州,4,是,"
"35","35,女,土木工程,博士,创业,建筑,10000.0,上海,1.5071224398974727,否,"
"36","36,男,汉语言文学,博士,创业,建筑,8500.0,青岛,2,是,"
"37","37,男,电子信息,硕士,,政府机关,9518.05927376021,北京,3,否,"
"38","38,女,汉语言文学,本科,出国,教育,11500.0,杭州,4,是,"
"39","39,女,机械工程,本科,考研,建筑,7500.0,广州,4,是,"
"40","40,男,机械工程,,考研,制造业,-3782,杭州,4,是,"
"41","41,男,环境工程,硕士,创业,文化传媒,15000.0,杭州,4,否,"
"42","42,男,土木工程,硕士,公务员,互联网,14000.0,南京,3,否,上海 "
"43","43, 女,计算机,硕士,考研,文化传媒,7500.0,武汉,2.0417522406512725,否,上海 "
"44","44,男,法学,本科,自由职业,银行,9500.0,杭州,3,否,"
"45","45,女,计算机,本科,公务员,互联网,9000.0,上海,差,是,"
"46","46,女,,本科,,文化传媒,7500.0,武汉,2,否,上海 "
"47","47,男,法学,本科,出国,政府机关,11500.0,北京,4,是,"
"48","48,女,汉语言文学,硕士,就业,政府机关,10000.0,成都,1,否,"
"49","49,女,,硕士,,政府机关,未知,深圳,1,否,"
"50","50,男,电子信息,,自由职业,建筑,8500.0,杭州,差,是,"
"51","51,男,金融学,博士,就业,教育,-7241,北京,5,否,"
"52","52,男,金融学,本科,出国,政府机关,-3381,广州,3,是,"
"53","53,女,,硕士,考研,银行,15558.22535105783,广州,1,是,"
"54","54,女,法学,硕士,,医疗,8000.0,深圳,差,是,上海 "
"55","55,男,临床医学,博士,,文化传媒,9000.0,青岛,5,是,"
