ID,性别,专业,学历,毕业去向,就业行业,期望薪资,工作城市,满意度评分,是否有实习经历
1,男,临床医学,硕士,创业,医疗,8500,南京,5,是
2,女,金融学,本科,公务员,银行,8500,杭州,2,是
3,女,土木工程,硕士,出国,教育,14000,成都,4,是
4,女,计算机,博士,自由职业,文化传媒,7500,北京,1,否
5,女,金融学,硕士,出国,文化传媒,7500,杭州,4,是
6,男,机械工程,本科,考研,银行,4000,上海,2,否
7,男,市场营销,本科,就业,教育,6000,北京,4,是
8,女,法学,本科,创业,建筑,15000,南京,1,是
9,女,汉语言文学,硕士,自由职业,银行,11500,成都,5,否
10,女,市场营销,本科,考研,银行,12500,成都,1,否
11,女,电子信息,博士,自由职业,医疗,7000,成都,5,否
12,女,市场营销,博士,出国,银行,6000,上海,5,是
13,男,临床医学,博士,公务员,文化传媒,15000,杭州,3,否
14,男,汉语言文学,博士,自由职业,建筑,5500,武汉,4,是
15,女,金融学,硕士,考研,文化传媒,12000,上海,2,否
16,男,计算机,本科,创业,文化传媒,14000,北京,4,否
17,男,汉语言文学,本科,出国,政府机关,13000,北京,2,否
18,女,金融学,硕士,考研,制造业,7500,深圳,3,是
19,女,市场营销,本科,公务员,银行,13000,西安,1,否
20,男,机械工程,硕士,创业,建筑,12500,杭州,1,否
21,女,临床医学,硕士,就业,文化传媒,12500,成都,3,否
22,女,电子信息,硕士,自由职业,互联网,6500,成都,3,否
23,男,环境工程,博士,公务员,银行,7500,西安,2,否
24,男,金融学,硕士,自由职业,制造业,4500,杭州,4,是
25,女,机械工程,本科,创业,银行,15000,西安,4,否
26,女,电子信息,硕士,公务员,政府机关,14000,青岛,5,否
27,女,法学,本科,公务员,建筑,15000,上海,5,是
28,男,计算机,本科,就业,银行,11000,西安,4,否
29,男,汉语言文学,硕士,公务员,建筑,14000,杭州,1,是
30,男,汉语言文学,硕士,公务员,建筑,7000,广州,5,是
31,女,土木工程,博士,就业,政府机关,6500,青岛,1,是
32,男,电子信息,本科,就业,建筑,11000,武汉,1,否
33,女,汉语言文学,硕士,出国,互联网,7000,杭州,3,否
34,女,金融学,本科,公务员,文化传媒,6000,杭州,4,是
35,女,土木工程,博士,创业,建筑,10000,上海,3,否
36,男,汉语言文学,博士,创业,建筑,8500,青岛,2,是
37,男,电子信息,硕士,就业,政府机关,11000,北京,3,否
38,女,汉语言文学,本科,出国,教育,11500,杭州,4,是
39,女,机械工程,本科,考研,建筑,7500,广州,4,是
40,男,机械工程,本科,考研,制造业,6000,杭州,4,是
41,男,环境工程,硕士,创业,文化传媒,15000,杭州,4,否
42,男,土木工程,硕士,公务员,互联网,14000,南京,3,否
43,男,计算机,硕士,考研,文化传媒,7500,武汉,1,否
44,男,法学,本科,自由职业,银行,9500,杭州,3,否
45,女,计算机,本科,公务员,互联网,9000,上海,4,是
46,女,计算机,本科,就业,文化传媒,7500,武汉,2,否
47,男,法学,本科,出国,政府机关,11500,北京,4,是
48,女,汉语言文学,硕士,就业,政府机关,10000,成都,1,否
49,女,法学,硕士,就业,政府机关,11500,深圳,1,否
50,男,电子信息,博士,自由职业,建筑,8500,杭州,2,是
51,男,金融学,博士,就业,教育,12500,北京,5,否
52,男,金融学,本科,出国,政府机关,9500,广州,3,是
53,女,汉语言文学,硕士,考研,银行,8500,广州,1,是
54,女,法学,硕士,创业,医疗,8000,深圳,4,是
55,男,临床医学,博士,自由职业,文化传媒,9000,青岛,5,是
56,女,金融学,博士,公务员,政府机关,5500,杭州,1,否
57,男,机械工程,博士,公务员,建筑,14000,南京,5,是
58,男,机械工程,硕士,公务员,制造业,14000,杭州,1,否
59,女,电子信息,本科,自由职业,教育,12500,成都,4,是
60,男,法学,硕士,考研,互联网,7500,深圳,4,是
61,女,市场营销,博士,出国,医疗,10000,成都,2,否
62,男,计算机,硕士,公务员,银行,11500,北京,2,否
63,男,电子信息,博士,就业,银行,11000,深圳,1,是
64,男,汉语言文学,硕士,出国,教育,6500,西安,3,是
65,女,汉语言文学,硕士,出国,文化传媒,12000,南京,5,是
66,女,电子信息,博士,就业,医疗,12000,深圳,5,是
67,男,金融学,硕士,出国,制造业,10500,武汉,4,否
68,女,临床医学,博士,创业,互联网,8000,广州,3,否
69,女,临床医学,博士,就业,文化传媒,6000,成都,5,否
70,女,机械工程,硕士,自由职业,银行,12000,武汉,4,否
71,女,机械工程,博士,自由职业,互联网,5000,上海,1,是
72,男,电子信息,博士,就业,建筑,15000,深圳,1,是
73,男,金融学,博士,就业,建筑,15000,杭州,5,是
74,男,土木工程,本科,公务员,医疗,12000,深圳,2,否
75,男,法学,博士,就业,医疗,8000,青岛,1,否
76,女,环境工程,本科,自由职业,教育,12000,青岛,2,是
77,女,环境工程,本科,创业,政府机关,7000,上海,2,是
78,女,电子信息,硕士,公务员,医疗,13500,北京,1,否
79,女,计算机,博士,公务员,建筑,11500,成都,2,是
80,女,金融学,博士,公务员,银行,12000,上海,5,是
81,女,计算机,博士,出国,制造业,7000,武汉,3,否
82,女,汉语言文学,本科,创业,文化传媒,4000,成都,1,是
83,男,计算机,硕士,出国,文化传媒,14500,北京,2,是
84,女,市场营销,硕士,自由职业,制造业,9500,武汉,4,是
85,男,环境工程,本科,考研,政府机关,9500,成都,2,否
86,女,计算机,本科,就业,银行,14500,西安,4,否
87,男,市场营销,博士,出国,银行,14500,北京,3,否
88,男,临床医学,硕士,创业,政府机关,13000,青岛,5,否
89,女,计算机,硕士,公务员,建筑,8500,深圳,4,是
90,女,汉语言文学,博士,公务员,文化传媒,8000,武汉,2,是
91,女,机械工程,硕士,创业,医疗,6000,杭州,3,否
92,女,汉语言文学,本科,考研,政府机关,6500,南京,2,否
93,男,临床医学,博士,就业,制造业,7500,成都,3,是
94,男,计算机,博士,创业,制造业,9500,成都,2,否
95,男,土木工程,硕士,考研,医疗,5000,深圳,2,否
96,男,机械工程,本科,出国,文化传媒,5500,武汉,4,否
97,男,电子信息,博士,出国,政府机关,12000,西安,4,是
98,女,土木工程,硕士,出国,文化传媒,7500,上海,5,是
99,男,法学,本科,就业,文化传媒,5500,深圳,3,否
100,男,汉语言文学,硕士,就业,制造业,13500,北京,4,是
101,男,法学,博士,就业,教育,15000,深圳,2,是
102,女,金融学,本科,出国,建筑,15000,西安,5,否
103,女,市场营销,硕士,自由职业,建筑,9500,南京,5,是
104,女,土木工程,博士,考研,建筑,15000,广州,2,否
105,男,金融学,本科,出国,制造业,7000,成都,2,是
106,男,金融学,本科,创业,医疗,12000,深圳,1,是
107,女,机械工程,硕士,创业,银行,4000,西安,5,是
108,男,计算机,本科,出国,互联网,5000,成都,2,是
109,女,法学,博士,就业,互联网,14000,上海,4,否
110,男,计算机,本科,就业,互联网,10000,南京,4,是
111,男,临床医学,硕士,考研,建筑,8000,青岛,2,是
112,男,土木工程,本科,创业,制造业,4500,杭州,5,是
113,男,计算机,本科,公务员,文化传媒,8000,西安,5,否
114,女,法学,本科,创业,制造业,9500,成都,5,是
115,女,电子信息,本科,公务员,教育,5500,杭州,4,是
116,男,环境工程,硕士,考研,文化传媒,12000,西安,1,否
117,女,计算机,本科,就业,政府机关,13000,深圳,1,否
118,男,市场营销,博士,自由职业,建筑,9000,青岛,2,是
119,女,金融学,博士,出国,文化传媒,9000,成都,1,是
120,男,机械工程,本科,考研,医疗,5000,青岛,1,否
121,女,汉语言文学,本科,出国,制造业,12500,深圳,3,否
122,女,市场营销,硕士,出国,建筑,12500,广州,4,否
123,女,汉语言文学,博士,公务员,文化传媒,4000,武汉,1,是
124,男,临床医学,硕士,考研,建筑,11500,成都,2,是
125,男,汉语言文学,硕士,就业,医疗,12000,西安,3,否
126,女,法学,本科,出国,医疗,11500,广州,4,是
127,男,机械工程,本科,创业,医疗,10500,北京,1,否
128,女,汉语言文学,博士,出国,制造业,4500,北京,4,否
129,男,电子信息,博士,考研,政府机关,6000,上海,5,否
130,女,汉语言文学,本科,考研,互联网,15000,西安,5,是
131,男,环境工程,博士,公务员,建筑,7500,武汉,1,是
132,女,法学,硕士,考研,互联网,14500,杭州,3,否
133,男,金融学,博士,出国,银行,8000,北京,2,是
134,男,临床医学,本科,公务员,制造业,5000,南京,4,否
135,男,临床医学,硕士,创业,建筑,7000,深圳,5,否
136,女,计算机,硕士,就业,文化传媒,7000,上海,2,是
137,女,临床医学,博士,创业,教育,13500,广州,2,否
138,男,法学,本科,出国,建筑,12500,西安,5,是
139,女,环境工程,博士,创业,医疗,12500,杭州,4,否
140,女,机械工程,本科,自由职业,文化传媒,6000,青岛,5,是
141,女,金融学,硕士,就业,政府机关,11500,广州,1,否
142,男,金融学,硕士,就业,银行,4500,青岛,1,否
143,男,法学,硕士,自由职业,文化传媒,8000,青岛,4,否
144,男,土木工程,硕士,就业,建筑,14000,西安,3,是
145,女,机械工程,博士,考研,银行,8500,上海,3,是
146,男,金融学,硕士,创业,教育,15000,广州,5,是
147,女,法学,硕士,创业,制造业,11500,西安,1,是
148,女,土木工程,博士,创业,建筑,7000,南京,2,否
149,女,土木工程,硕士,就业,文化传媒,5500,成都,5,是
150,男,土木工程,博士,出国,制造业,4000,西安,5,是
151,女,土木工程,本科,就业,制造业,12000,青岛,2,是
152,男,环境工程,本科,就业,建筑,5500,深圳,3,是
153,男,土木工程,硕士,自由职业,政府机关,11000,广州,4,是
154,女,汉语言文学,本科,就业,医疗,11000,成都,2,是
155,男,环境工程,硕士,考研,互联网,5000,南京,4,否
156,女,机械工程,本科,出国,互联网,14000,上海,1,否
157,男,金融学,本科,公务员,制造业,12500,杭州,4,是
158,男,土木工程,博士,就业,建筑,11500,西安,4,否
159,女,金融学,硕士,出国,制造业,4000,西安,5,否
160,女,电子信息,硕士,自由职业,互联网,6000,武汉,2,否
161,女,金融学,硕士,公务员,银行,14500,上海,5,否
162,男,计算机,本科,自由职业,银行,11500,成都,3,是
163,男,金融学,博士,出国,政府机关,14500,杭州,3,否
164,男,电子信息,本科,自由职业,政府机关,4000,武汉,4,否
165,女,机械工程,博士,公务员,政府机关,4000,南京,1,是
166,女,市场营销,博士,考研,制造业,7000,北京,3,否
167,男,市场营销,博士,出国,制造业,13000,上海,2,是
168,女,计算机,本科,创业,政府机关,10500,南京,1,是
169,女,电子信息,博士,公务员,建筑,7000,武汉,3,是
170,女,机械工程,本科,出国,制造业,10000,青岛,1,否
171,男,法学,本科,出国,教育,15000,杭州,1,否
172,男,机械工程,博士,就业,医疗,9500,南京,1,否
173,男,电子信息,本科,就业,教育,14500,广州,3,是
174,女,计算机,博士,自由职业,制造业,7500,广州,4,否
175,男,法学,硕士,自由职业,互联网,8500,青岛,1,是
176,男,机械工程,本科,创业,医疗,14000,广州,5,是
177,女,汉语言文学,本科,就业,政府机关,5000,广州,2,是
178,男,临床医学,博士,考研,制造业,12500,西安,3,否
179,男,市场营销,博士,出国,建筑,7500,西安,5,否
180,女,机械工程,博士,自由职业,文化传媒,11000,武汉,2,否
181,男,环境工程,本科,自由职业,制造业,7500,杭州,2,是
182,男,计算机,本科,创业,银行,5500,杭州,1,否
183,女,临床医学,硕士,自由职业,制造业,5000,成都,1,否
184,女,土木工程,本科,公务员,银行,10500,武汉,5,否
185,男,金融学,博士,就业,文化传媒,7000,武汉,5,是
186,男,汉语言文学,本科,自由职业,文化传媒,8500,北京,5,否
187,男,金融学,博士,考研,医疗,7500,深圳,1,否
188,女,汉语言文学,博士,创业,银行,10500,南京,2,否
189,男,法学,硕士,考研,医疗,6500,武汉,3,是
190,女,电子信息,本科,考研,文化传媒,14000,青岛,4,否
191,女,金融学,博士,考研,互联网,11000,广州,2,是
192,女,机械工程,硕士,出国,互联网,4500,南京,3,是
193,男,电子信息,硕士,就业,建筑,4500,南京,3,是
194,男,计算机,硕士,公务员,政府机关,6000,杭州,5,是
195,女,临床医学,硕士,创业,互联网,8500,西安,1,否
196,男,土木工程,本科,考研,制造业,7500,广州,3,是
197,女,法学,硕士,考研,制造业,6000,武汉,3,是
198,男,临床医学,博士,出国,文化传媒,8000,上海,1,是
199,女,临床医学,硕士,自由职业,制造业,12500,杭州,5,否
200,女,机械工程,博士,考研,互联网,8500,杭州,2,是
201,男,土木工程,博士,公务员,建筑,7500,南京,5,否
202,女,市场营销,硕士,创业,文化传媒,6000,北京,1,否
203,女,环境工程,博士,公务员,建筑,11000,南京,5,是
204,男,市场营销,硕士,考研,文化传媒,8500,青岛,1,是
205,男,汉语言文学,博士,自由职业,政府机关,5500,西安,3,否
206,女,计算机,博士,就业,教育,14000,西安,5,是
207,男,电子信息,硕士,出国,医疗,13500,武汉,5,否
208,男,土木工程,本科,就业,文化传媒,12000,北京,5,是
209,男,电子信息,硕士,考研,制造业,5000,深圳,3,否
210,女,临床医学,博士,自由职业,银行,5500,西安,1,否
211,女,机械工程,硕士,创业,医疗,8000,杭州,3,否
212,女,环境工程,博士,考研,银行,13500,武汉,2,是
213,女,机械工程,硕士,创业,教育,5500,杭州,3,是
214,男,电子信息,硕士,自由职业,文化传媒,6500,青岛,5,否
215,女,电子信息,硕士,考研,文化传媒,11000,杭州,5,否
216,男,临床医学,本科,创业,建筑,6000,南京,5,是
217,女,机械工程,博士,创业,教育,12500,南京,5,否
218,女,土木工程,本科,自由职业,建筑,15000,成都,5,否
219,女,土木工程,本科,自由职业,政府机关,4500,武汉,5,是
220,女,法学,硕士,出国,建筑,8500,上海,3,是
221,男,电子信息,硕士,公务员,文化传媒,14500,武汉,1,是
222,女,环境工程,本科,出国,政府机关,8000,南京,2,是
223,男,临床医学,硕士,自由职业,互联网,13500,南京,5,否
224,女,法学,硕士,创业,制造业,10000,广州,1,否
225,女,电子信息,博士,自由职业,制造业,13000,上海,5,是
226,女,土木工程,博士,就业,教育,6000,杭州,3,否
227,男,金融学,本科,自由职业,文化传媒,12500,青岛,1,是
228,女,环境工程,硕士,出国,文化传媒,5000,青岛,1,是
229,女,机械工程,本科,出国,教育,14000,杭州,3,否
230,男,临床医学,本科,考研,文化传媒,12500,上海,2,否
231,女,法学,本科,考研,银行,11000,广州,3,是
232,男,金融学,博士,创业,文化传媒,10500,武汉,1,否
